date,open,high,low,close,volume
2014-01-16,16.8055,16.8444,16.6985,16.7374,2342814
2014-01-17,16.6888,16.7763,16.5818,16.5818,1936207
2014-01-21,16.5818,16.5915,16.3581,16.3873,2869439
2014-01-22,16.4067,16.6596,16.3873,16.6401,3925922
2014-01-23,16.4845,16.5137,16.2122,16.3289,2295784
2014-01-24,16.4067,16.4456,16.1733,16.2609,3130522
2014-01-27,16.0177,16.0761,15.3272,15.7843,6824468
2014-01-28,15.619,16.0177,15.5898,15.9691,2140926
2014-01-29,15.7454,15.8135,15.5995,15.6092,2302162
2014-01-30,15.7746,16.0513,15.6092,15.6871,2440139
2014-01-31,15.298,15.3661,15.123,15.3175,4826649
2014-02-03,15.1716,15.2397,14.8118,14.8312,2881819
2014-02-04,14.8604,15.8913,14.8604,15.6579,7946801
2014-02-05,15.4245,15.5217,15.2397,15.4634,2813708
2014-02-06,15.0257,16.2803,15.0257,16.0663,6366728
2014-02-07,16.2706,16.4067,16.0663,16.3581,3625593
2014-02-10,16.2414,16.3289,16.0663,16.222,2218832
2014-02-11,16.3387,16.7034,16.2803,16.6401,4863102
2014-02-12,16.6499,16.8833,16.6379,16.8444,2808192
2014-02-13,16.3776,16.8055,16.29,16.7277,4259339
2014-02-14,16.3289,16.6596,16.3289,16.5915,4692170
2014-02-18,16.8249,16.9125,16.7277,16.8638,1833572
2014-02-19,16.6401,16.7763,16.5526,16.6012,2655435
2014-02-20,16.6304,16.7471,16.5137,16.6985,1792353
2014-02-21,16.7666,16.856,16.6499,16.6499,1403455
2014-02-24,16.9222,17.0,16.8444,16.9222,1965420
2014-02-25,16.786,16.8713,16.6985,16.8055,1952009
2014-02-26,16.8736,17.0486,16.6888,16.9027,1757006
2014-02-27,16.9027,17.1556,16.7957,17.0389,3096099
2014-02-28,17.0486,17.175,16.9514,17.0681,2202363
2014-03-03,16.7277,16.8055,16.5721,16.7374,1822752
2014-03-04,16.9514,17.0389,16.8347,16.8833,1457531
2014-03-05,16.9903,17.107,16.9515,17.0,1007876
2014-03-06,17.3987,17.4279,17.3258,17.3695,1633992
2014-03-07,17.4376,17.496,17.2327,17.4571,1523411
2014-03-10,17.6321,17.671,17.3647,17.5446,1606795
2014-03-11,17.5446,17.5446,17.282,17.3598,1681233
2014-03-12,17.2431,17.3598,17.2042,17.3501,1514536
2014-03-13,17.389,17.3981,17.0195,17.1459,2433232
2014-03-14,16.786,16.8541,16.6499,16.6985,3085464
2014-03-17,16.679,16.8638,16.679,16.7471,1202858
2014-03-18,16.5137,16.7374,16.4554,16.679,1943592
2014-03-19,16.6985,16.8738,16.5672,16.679,3527428
2014-03-20,16.8444,17.1361,16.8347,17.1264,3191982
2014-03-21,17.1264,17.3598,17.1264,17.2723,4025212
2014-03-24,17.2528,17.2917,17.0583,17.1653,2850356
2014-03-25,17.4668,17.7488,17.4279,17.7488,3383055
2014-03-26,17.9245,18.0126,17.6455,17.6699,2317295
2014-03-27,17.9342,18.0028,17.7972,17.8853,2873563
2014-03-28,18.2083,18.3943,18.2083,18.2573,2966112
2014-03-31,18.7174,18.8447,18.6782,18.7174,2988658
2014-04-01,19.0111,19.0502,18.8838,19.0307,2232045
2014-04-02,18.7859,18.9377,18.6782,18.8838,1442463
2014-04-03,18.8447,18.874,18.551,18.688,1856832
2014-04-04,18.8544,18.9328,18.551,18.6293,1378645
2014-04-07,18.7761,18.8544,18.5216,18.6489,1822987
2014-04-08,18.5216,18.6097,18.4629,18.502,1796268
2014-04-09,18.2867,18.4726,18.1692,18.4237,1143712
2014-04-10,18.1007,18.1594,17.7482,17.7678,2571848
2014-04-11,17.944,18.0222,17.8804,17.993,1265935
2014-04-14,18.2083,18.3234,18.1105,18.1986,1076994
2014-04-15,18.1888,18.2475,17.946,18.1594,1313397
2014-04-16,18.3552,18.414,18.2671,18.3846,1027121
2014-04-17,18.4041,18.4511,18.2965,18.316,961821
2014-04-21,18.4139,18.6489,18.4041,18.5999,1294834
2014-04-22,18.2475,18.3552,18.179,18.2867,1474841
2014-04-23,18.3356,18.3454,18.2279,18.2671,724375
2014-04-24,17.7776,17.807,17.4741,17.7678,2632542
2014-04-25,17.5525,17.6112,17.3958,17.4937,1178778
